script,steps,pqn,paradox,res_hits,pqn_per_1k,paradox_per_1k,dt,noise_H,noise_L,seed
^^^,800,66,0,289,82.5,0.0,0.07092198581560284,0.0,0.0,0
^^&,800,67,0,289,83.75,0.0,0.07092198581560284,0.0,0.0,0
^^#,800,70,0,289,87.5,0.0,0.07092198581560284,0.0,0.0,0
^^.,800,70,0,289,87.5,0.0,0.07092198581560284,0.0,0.0,0
^&^,800,72,0,289,90.0,0.0,0.07092198581560284,0.0,0.0,0
^&&,800,49,0,289,61.25,0.0,0.07092198581560284,0.0,0.0,0
^&#,800,49,0,289,61.25,0.0,0.07092198581560284,0.0,0.0,0
^&.,800,49,0,289,61.25,0.0,0.07092198581560284,0.0,0.0,0
^#^,800,65,0,289,81.25,0.0,0.07092198581560284,0.0,0.0,0
^#&,800,49,0,289,61.25,0.0,0.07092198581560284,0.0,0.0,0
^##,800,49,0,289,61.25,0.0,0.07092198581560284,0.0,0.0,0
^#.,800,49,0,289,61.25,0.0,0.07092198581560284,0.0,0.0,0
^.^,800,66,0,289,82.5,0.0,0.07092198581560284,0.0,0.0,0
^.&,800,49,0,289,61.25,0.0,0.07092198581560284,0.0,0.0,0
^.#,800,49,0,289,61.25,0.0,0.07092198581560284,0.0,0.0,0
^..,800,49,0,289,61.25,0.0,0.07092198581560284,0.0,0.0,0
&^^,800,62,0,289,77.5,0.0,0.07092198581560284,0.0,0.0,0
&^&,800,46,0,289,57.5,0.0,0.07092198581560284,0.0,0.0,0
&^#,800,46,0,289,57.5,0.0,0.07092198581560284,0.0,0.0,0
&^.,800,46,0,289,57.5,0.0,0.07092198581560284,0.0,0.0,0
&&^,800,41,0,289,51.25,0.0,0.07092198581560284,0.0,0.0,0
&&&,800,73,0,289,91.25,0.0,0.07092198581560284,0.0,0.0,0
&&#,800,73,0,289,91.25,0.0,0.07092198581560284,0.0,0.0,0
&&.,800,73,0,289,91.25,0.0,0.07092198581560284,0.0,0.0,0
&#^,800,41,0,289,51.25,0.0,0.07092198581560284,0.0,0.0,0
&#&,800,73,0,289,91.25,0.0,0.07092198581560284,0.0,0.0,0
&##,800,73,0,289,91.25,0.0,0.07092198581560284,0.0,0.0,0
&#.,800,73,0,289,91.25,0.0,0.07092198581560284,0.0,0.0,0
&.^,800,42,0,289,52.5,0.0,0.07092198581560284,0.0,0.0,0
&.&,800,73,0,289,91.25,0.0,0.07092198581560284,0.0,0.0,0
&.#,800,73,0,289,91.25,0.0,0.07092198581560284,0.0,0.0,0
&..,800,73,0,289,91.25,0.0,0.07092198581560284,0.0,0.0,0
#^^,800,62,0,289,77.5,0.0,0.07092198581560284,0.0,0.0,0
#^&,800,46,0,289,57.5,0.0,0.07092198581560284,0.0,0.0,0
#^#,800,46,0,289,57.5,0.0,0.07092198581560284,0.0,0.0,0
#^.,800,46,0,289,57.5,0.0,0.07092198581560284,0.0,0.0,0
#&^,800,41,0,289,51.25,0.0,0.07092198581560284,0.0,0.0,0
#&&,800,73,0,289,91.25,0.0,0.07092198581560284,0.0,0.0,0
#&#,800,73,0,289,91.25,0.0,0.07092198581560284,0.0,0.0,0
#&.,800,73,0,289,91.25,0.0,0.07092198581560284,0.0,0.0,0
##^,800,41,0,289,51.25,0.0,0.07092198581560284,0.0,0.0,0
##&,800,73,0,289,91.25,0.0,0.07092198581560284,0.0,0.0,0
###,800,73,0,289,91.25,0.0,0.07092198581560284,0.0,0.0,0
##.,800,73,0,289,91.25,0.0,0.07092198581560284,0.0,0.0,0
#.^,800,41,0,289,51.25,0.0,0.07092198581560284,0.0,0.0,0
#.&,800,73,0,289,91.25,0.0,0.07092198581560284,0.0,0.0,0
#.#,800,73,0,289,91.25,0.0,0.07092198581560284,0.0,0.0,0
#..,800,73,0,289,91.25,0.0,0.07092198581560284,0.0,0.0,0
.^^,800,62,0,289,77.5,0.0,0.07092198581560284,0.0,0.0,0
.^&,800,46,0,289,57.5,0.0,0.07092198581560284,0.0,0.0,0
.^#,800,46,0,289,57.5,0.0,0.07092198581560284,0.0,0.0,0
.^.,800,46,0,289,57.5,0.0,0.07092198581560284,0.0,0.0,0
.&^,800,42,0,289,52.5,0.0,0.07092198581560284,0.0,0.0,0
.&&,800,73,0,289,91.25,0.0,0.07092198581560284,0.0,0.0,0
.&#,800,73,0,289,91.25,0.0,0.07092198581560284,0.0,0.0,0
.&.,800,73,0,289,91.25,0.0,0.07092198581560284,0.0,0.0,0
.#^,800,41,0,289,51.25,0.0,0.07092198581560284,0.0,0.0,0
.#&,800,73,0,289,91.25,0.0,0.07092198581560284,0.0,0.0,0
.##,800,73,0,289,91.25,0.0,0.07092198581560284,0.0,0.0,0
.#.,800,73,0,289,91.25,0.0,0.07092198581560284,0.0,0.0,0
..^,800,42,0,289,52.5,0.0,0.07092198581560284,0.0,0.0,0
..&,800,73,0,289,91.25,0.0,0.07092198581560284,0.0,0.0,0
..#,800,73,0,289,91.25,0.0,0.07092198581560284,0.0,0.0,0
...,800,73,0,289,91.25,0.0,0.07092198581560284,0.0,0.0,0
