t,step,sym,C,E,rnorm,purity,S,detg,det_thr,reso_hit_freq,reso_hit_mag
0.000000,0,^,0.100000,0.019858,0.800985,0.820789,0.323999,,,,
0.070922,1,^,0.100986,0.039716,0.801972,0.821579,0.322911,,,,
0.141844,2,^,0.102958,0.059526,0.802959,0.822372,0.321820,,,,
0.212766,3,^,0.105913,0.079237,0.803948,0.823166,0.320724,,,,
0.283688,4,^,0.109847,0.098801,0.804938,0.823963,0.319623,,,,
0.354610,5,^,0.114752,0.118171,0.805930,0.824761,0.318519,,,,
0.425532,6,^,0.120618,0.137297,0.806922,0.825562,0.317411,,,,
0.496454,7,^,0.127434,0.156131,0.807916,0.826364,0.316298,,,,
0.567376,8,^,0.135186,0.174627,0.808911,0.827169,0.315181,,,,
0.638298,9,^,0.143855,0.192739,0.809907,0.827975,0.314060,,,,
0.709220,10,^,0.153424,0.210420,0.810905,0.828783,0.312935,,,,
0.780142,11,^,0.163870,0.227626,0.811904,0.829594,0.311805,,,,
0.851064,12,^,0.175170,0.244313,0.812903,0.830406,0.310671,,,,
0.921986,13,^,0.187299,0.260439,0.813905,0.831220,0.309533,,,,
0.992908,14,^,0.200229,0.275963,0.814907,0.832037,0.308390,,,,
1.063830,15,^,0.213929,0.290846,0.815911,0.832855,0.307243,,,,
1.134752,16,^,0.228369,0.305048,0.816915,0.833675,0.306092,,,,
1.205674,17,^,0.243513,0.318533,0.817922,0.834498,0.304936,,,,
1.276596,18,^,0.259326,0.331266,0.818929,0.835322,0.303775,,,,
1.347518,19,^,0.275772,0.343215,0.819937,0.836149,0.302610,,,,
1.418440,20,^,0.292811,0.354346,0.820947,0.836977,0.301441,,,,
1.489362,21,^,0.310403,0.364632,0.821958,0.837808,0.300267,,,,
1.560284,22,^,0.328505,0.374045,0.822971,0.838640,0.299088,,,,
1.631206,23,^,0.347075,0.382559,0.823984,0.839475,0.297904,,,,
1.702128,24,^,0.366067,0.390151,0.824999,0.840312,0.296716,,,,
1.773050,25,^,0.385436,0.396800,0.826015,0.841150,0.295524,,,,
1.843972,26,^,0.405136,0.402488,0.827032,0.841991,0.294326,,,,
1.914894,27,^,0.425117,0.407197,0.828051,0.842834,0.293124,,,,
1.985816,28,^,0.445333,0.410915,0.829071,0.843679,0.291917,,,,
2.056738,29,^,0.465733,0.413629,0.830092,0.844526,0.290705,,,,
2.127660,30,^,0.486268,0.415330,0.831114,0.845375,0.289489,,,,
2.198582,31,^,0.506887,0.416012,0.832138,0.846227,0.288267,,,,
2.269504,32,^,0.527540,0.415670,0.833162,0.847080,0.287041,,,,
2.340426,33,^,0.548176,0.414303,0.834189,0.847935,0.285809,,,,
2.411348,34,^,0.568744,0.411911,0.835216,0.848793,0.284573,,,,
2.482270,35,^,0.589194,0.408498,0.836245,0.849652,0.283332,,,,
2.553191,36,^,0.609474,0.404070,0.837274,0.850514,0.282085,,,,
2.624113,37,^,0.629534,0.398635,0.838306,0.851378,0.280834,,,,
2.695035,38,^,0.649324,0.392204,0.839338,0.852244,0.279577,,,,
2.765957,39,^,0.668796,0.384791,0.840372,0.853112,0.278315,,,,
2.836879,40,^,0.687899,0.376411,0.841407,0.853983,0.277048,,,,
2.907801,41,^,0.706586,0.367083,0.842443,0.854855,0.275776,,,,
2.978723,42,^,0.724810,0.356827,0.843481,0.855730,0.274498,,,,
3.049645,43,^,0.742524,0.345666,0.844519,0.856606,0.273215,,,,
3.120567,44,^,0.759685,0.333626,0.845559,0.857485,0.271927,,,,
3.191489,45,^,0.776248,0.320734,0.846601,0.858366,0.270634,,,,
3.262411,46,^,0.792171,0.307019,0.847643,0.859250,0.269335,,,,
3.333333,47,^,0.807413,0.292514,0.848687,0.860135,0.268030,,,,
3.404255,48,^,0.821935,0.277253,0.849733,0.861023,0.266720,,,,
3.475177,49,^,0.835700,0.261270,0.850779,0.861913,0.265405,,,,
3.546099,50,^,0.848670,0.244604,0.851827,0.862805,0.264084,,,,
3.617021,51,^,0.860814,0.227294,0.852876,0.863699,0.262757,,,,
3.687943,52,^,0.872098,0.209382,0.853926,0.864595,0.261424,,,,
3.758865,53,^,0.882493,0.190909,0.854978,0.865494,0.260086,,,,
3.829787,54,^,0.891971,0.171920,0.856031,0.866395,0.258742,,,,
3.900709,55,^,0.900506,0.152460,0.857085,0.867298,0.257392,,,,
3.971631,56,^,0.908075,0.132577,0.858141,0.868203,0.256037,,,,
4.042553,57,^,0.914656,0.112318,0.859198,0.869110,0.254675,,,,
4.113475,58,^,0.920232,0.091732,0.860256,0.870020,0.253308,,,,
4.184397,59,^,0.924786,0.070869,0.861315,0.870932,0.251934,,,,
4.255319,60,^,0.928305,0.049781,0.862376,0.871846,0.250555,,,,
4.326241,61,^,0.930776,0.028517,0.863438,0.872763,0.249169,,,,
4.397163,62,^,0.932192,0.007131,0.864502,0.873682,0.247778,,,,
4.468085,63,^,0.932546,0.014325,0.865566,0.874603,0.246380,,,,
4.539007,64,^,0.931835,0.035799,0.866632,0.875526,0.244975,9.053342295916e-09,1.000000000000e-06,,
4.609929,65,^,0.930058,0.057238,0.867700,0.876451,0.243565,9.325728124337e-09,1.000000000000e-06,,
4.680851,66,^,0.927216,0.078588,0.868768,0.877379,0.242148,9.768135199447e-09,1.000000000000e-06,,
4.751773,67,^,0.923314,0.099797,0.869838,0.878309,0.240725,1.037314239704e-08,1.000000000000e-06,,
4.822695,68,^,0.918360,0.120813,0.870909,0.879242,0.239295,1.112931866175e-08,1.000000000000e-06,,
4.893617,69,^,0.912362,0.141582,0.871982,0.880176,0.237859,1.202161527189e-08,1.000000000000e-06,,
4.964539,70,^,0.905333,0.162054,0.873056,0.881113,0.236416,1.303187983438e-08,1.000000000000e-06,,
5.035461,71,^,0.897288,0.182177,0.874131,0.882053,0.234966,1.413947298774e-08,1.000000000000e-06,,
5.106383,72,^,0.888244,0.201901,0.875208,0.882994,0.233510,1.532196480309e-08,1.000000000000e-06,,
5.177305,73,^,0.878220,0.221175,0.876286,0.883938,0.232047,1.655588475470e-08,1.000000000000e-06,,
5.248227,74,^,0.867240,0.239952,0.877365,0.884885,0.230578,1.781749701135e-08,1.000000000000e-06,,
5.319149,75,^,0.855327,0.258184,0.878445,0.885833,0.229101,1.908357176847e-08,1.000000000000e-06,,
5.390071,76,^,0.842510,0.275824,0.879527,0.886784,0.227617,2.033212344867e-08,1.000000000000e-06,,
5.460993,77,^,0.828816,0.292828,0.880610,0.887737,0.226127,2.154308784739e-08,1.000000000000e-06,,
5.531915,78,^,0.814279,0.309153,0.881695,0.888693,0.224629,2.269891265296e-08,1.000000000000e-06,,
5.602837,79,^,0.798931,0.324755,0.882781,0.889651,0.223124,2.378503913936e-08,1.000000000000e-06,,
5.673759,80,^,0.782808,0.339596,0.883868,0.890611,0.221612,2.479025709278e-08,1.000000000000e-06,,
5.744681,81,^,0.765949,0.353636,0.884957,0.891574,0.220093,2.570692002613e-08,1.000000000000e-06,,
5.815603,82,^,0.748392,0.366839,0.886047,0.892539,0.218567,2.653101326840e-08,1.000000000000e-06,,
5.886525,83,^,0.730181,0.379170,0.887138,0.893507,0.217033,2.726207337302e-08,1.000000000000e-06,,
5.957447,84,^,0.711357,0.390598,0.888230,0.894477,0.215491,2.790296324126e-08,1.000000000000e-06,,
6.028369,85,^,0.691965,0.401091,0.889324,0.895449,0.213942,2.845951316876e-08,1.000000000000e-06,,
6.099291,86,^,0.672053,0.410621,0.890420,0.896423,0.212385,2.894004346272e-08,1.000000000000e-06,,
6.170213,87,^,0.651667,0.419163,0.891516,0.897401,0.210821,2.935478912536e-08,1.000000000000e-06,,
6.241135,88,^,0.630858,0.426692,0.892614,0.898380,0.209249,2.971525115852e-08,1.000000000000e-06,,
6.312057,89,^,0.609675,0.433189,0.893713,0.899362,0.207668,3.003350214536e-08,1.000000000000e-06,,
6.382979,90,^,0.588169,0.438633,0.894814,0.900346,0.206080,3.032147577755e-08,1.000000000000e-06,,
6.453901,91,^,0.566393,0.443011,0.895916,0.901333,0.204484,3.059027082884e-08,1.000000000000e-06,,
6.524823,92,^,0.544399,0.446307,0.897020,0.902322,0.202880,3.084949968530e-08,1.000000000000e-06,,
6.595745,93,^,0.522242,0.448511,0.898124,0.903314,0.201268,3.110670993283e-08,1.000000000000e-06,,
6.666667,94,^,0.499976,0.449615,0.899230,0.904308,0.199647,3.136690472615e-08,1.000000000000e-06,,
6.737589,95,^,0.477654,0.449614,0.900338,0.905304,0.198018,3.163218381955e-08,1.000000000000e-06,,
6.808511,96,^,0.455333,0.448505,0.901447,0.906303,0.196380,3.190152237208e-08,1.000000000000e-06,,
6.879433,97,^,0.433067,0.446287,0.902557,0.907304,0.194734,3.217069912792e-08,1.000000000000e-06,,
6.950355,98,^,0.410911,0.442964,0.903668,0.908308,0.193079,3.243237953016e-08,1.000000000000e-06,,
7.021277,99,^,0.388920,0.438541,0.904781,0.909315,0.191415,3.267635298761e-08,1.000000000000e-06,,
7.092199,100,^,0.367148,0.433027,0.905896,0.910324,0.189742,3.288991713036e-08,1.000000000000e-06,,
7.163121,101,^,0.345650,0.426431,0.907011,0.911335,0.188061,3.305839571349e-08,1.000000000000e-06,,
7.234043,102,^,0.324480,0.418768,0.908128,0.912349,0.186370,3.316577111011e-08,1.000000000000e-06,,
7.304965,103,^,0.303690,0.410055,0.909247,0.913365,0.184670,3.319540730608e-08,1.000000000000e-06,,
7.375887,104,^,0.283333,0.400309,0.910367,0.914384,0.182961,3.313083517925e-08,1.000000000000e-06,,
7.446809,105,^,0.263459,0.389552,0.911488,0.915405,0.181242,3.295656879002e-08,1.000000000000e-06,,
7.517730,106,^,0.244120,0.377809,0.912610,0.916429,0.179514,3.265891956241e-08,1.000000000000e-06,,
7.588652,107,^,0.225363,0.365106,0.913734,0.917455,0.177776,3.222677468357e-08,1.000000000000e-06,,
7.659574,108,^,0.207237,0.351471,0.914860,0.918484,0.176028,3.165230683235e-08,1.000000000000e-06,,
7.730496,109,^,0.189789,0.336937,0.915986,0.919516,0.174270,3.093158445020e-08,1.000000000000e-06,,
7.801418,110,^,0.173061,0.321537,0.917115,0.920550,0.172502,3.006505512290e-08,1.000000000000e-06,,
7.872340,111,^,0.157098,0.305306,0.918244,0.921586,0.170725,2.905787913261e-08,1.000000000000e-06,,
7.943262,112,^,0.141941,0.288282,0.919375,0.922625,0.168936,2.792009570330e-08,1.000000000000e-06,,
8.014184,113,^,0.127629,0.270506,0.920507,0.923667,0.167137,2.666661069528e-08,2.128013549171e-08,,
8.085106,114,^,0.114200,0.252020,0.921641,0.924711,0.165328,2.531700127018e-08,2.173825915522e-08,,
8.156028,115,^,0.101688,0.232866,0.922776,0.925758,0.163508,2.389514008740e-08,2.292637331213e-08,,
8.226950,116,^,0.090128,0.213092,0.923912,0.926807,0.161677,2.242864863243e-08,2.383720416836e-08,,
8.297872,117,^,0.079549,0.192744,0.925050,0.927859,0.159834,2.094819604146e-08,2.561172432828e-08,,
8.368794,118,^,0.069980,0.171870,0.926190,0.928913,0.157981,1.948666600593e-08,2.584007988158e-08,,
8.439716,119,^,0.061447,0.150522,0.927330,0.929971,0.156116,1.807821976614e-08,2.650829180748e-08,,
8.510638,120,^,0.053975,0.128750,0.928472,0.931030,0.154240,1.675728761251e-08,2.717650373338e-08,,
8.581560,121,^,0.047583,0.106607,0.929616,0.932093,0.152351,1.555752452318e-08,2.920040663159e-08,,
8.652482,122,^,0.042290,0.084146,0.930761,0.933158,0.150451,1.451076743863e-08,2.978821386326e-08,,
8.723404,123,^,0.038113,0.061423,0.931907,0.934225,0.148538,1.364603212003e-08,3.205106650853e-08,,
8.794326,124,^,0.035063,0.038492,0.933055,0.935295,0.146614,1.298858652566e-08,3.336098992970e-08,,
8.865248,125,^,0.033152,0.015410,0.934204,0.936368,0.144676,1.255913519289e-08,3.383574192632e-08,,
8.936170,126,^,0.032387,0.007766,0.935354,0.937444,0.142726,1.196799363968e-08,3.417457449098e-08,,
9.007092,127,^,0.032773,0.030981,0.936506,0.938522,0.140763,1.229354800569e-08,3.647862755086e-08,,
9.078014,128,^,0.034311,0.054177,0.937660,0.939603,0.138787,1.258708761891e-08,3.878268061075e-08,,
9.148936,129,^,0.037001,0.077296,0.938814,0.940686,0.136797,1.311493000147e-08,3.926138807835e-08,,
9.219858,130,^,0.040838,0.100282,0.939971,0.941772,0.134793,1.386884781870e-08,4.112219314644e-08,,
9.290780,131,^,0.045817,0.123077,0.941128,0.942861,0.132776,1.483499902197e-08,4.227744408535e-08,,
9.361702,132,^,0.051927,0.145625,0.942287,0.943953,0.130744,1.599440265659e-08,4.266759767578e-08,,
9.432624,133,^,0.059156,0.167870,0.943448,0.945047,0.128698,1.732358819830e-08,4.460530207274e-08,,
9.503546,134,^,0.067490,0.189756,0.944610,0.946144,0.126636,1.879539447436e-08,4.483059383251e-08,,
9.574468,135,^,0.076911,0.211228,0.945773,0.947243,0.124560,2.037988843031e-08,4.443306591434e-08,,
9.645390,136,^,0.087397,0.232232,0.946938,0.948346,0.122469,2.204536932695e-08,4.393003076082e-08,,
9.716312,137,^,0.098927,0.252716,0.948104,0.949451,0.120361,2.375942058620e-08,4.365248153439e-08,,
9.787234,138,^,0.111473,0.272628,0.949272,0.950558,0.118238,2.548996959082e-08,4.337493230795e-08,,
9.858156,139,^,0.125008,0.291916,0.950441,0.951669,0.116098,2.720631536879e-08,4.307435146882e-08,,
9.929078,140,^,0.139500,0.310533,0.951611,0.952782,0.113942,2.888008528407e-08,4.282712084929e-08,,
10.000000,141,^,0.154916,0.328430,0.952783,0.953898,0.111768,3.048608457715e-08,4.134937120359e-08,,
10.070922,142,^,0.171221,0.345562,0.953957,0.955017,0.109576,3.200300675524e-08,4.105156636060e-08,,
10.141844,143,^,0.188377,0.361884,0.955132,0.956138,0.107367,3.341397827047e-08,4.033971852439e-08,,
10.212766,144,^,0.206343,0.377355,0.956308,0.957263,0.105139,3.470691743999e-08,3.950713261137e-08,,
10.283688,145,^,0.225077,0.391934,0.957486,0.958390,0.102892,3.587469490491e-08,3.962284284262e-08,,
10.354610,146,^,0.244535,0.405582,0.958665,0.959519,0.100626,3.691509081214e-08,4.008438322258e-08,,
10.425532,147,^,0.264670,0.418265,0.959846,0.960652,0.098339,3.783055202513e-08,3.960175858360e-08,,
10.496454,148,^,0.285435,0.429948,0.961028,0.961787,0.096032,3.862776070758e-08,3.974009554594e-08,,
10.567376,149,^,0.306780,0.440600,0.962211,0.962925,0.093704,3.931703325705e-08,3.929202376647e-08,,
10.638298,150,^,0.328653,0.450193,0.963396,0.964066,0.091354,3.991157548810e-08,3.719334491843e-08,,
10.709220,151,^,0.351003,0.458699,0.964583,0.965210,0.088982,4.042662589470e-08,3.767338704509e-08,,
10.780142,152,^,0.373776,0.466096,0.965771,0.966357,0.086586,4.087852351572e-08,3.773975456842e-08,,
10.851064,153,^,0.396915,0.472363,0.966960,0.967506,0.084167,4.128374018692e-08,3.694892048601e-08,,
10.921986,154,^,0.420366,0.477480,0.968151,0.968658,0.081722,4.165791864589e-08,3.575674044789e-08,,
10.992908,155,^,0.444071,0.481434,0.969344,0.969813,0.079252,4.201495798135e-08,3.567837502311e-08,,
11.063830,156,^,0.467972,0.484211,0.970537,0.970971,0.076756,4.236618626851e-08,3.560000959833e-08,,
