t,step,sym,C,E,rnorm,purity,S,detg,det_thr,reso_hit_freq,reso_hit_mag,ew_varE,ew_ac1E,ew_dS,harm_sub_power,harm_fund_power,harm_2f_power,harm_3f_power
0.000000,0,^,0.100000,0.009929,0.800246,0.820197,0.324812,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.035461,1,^,0.100246,0.019858,0.800493,0.820394,0.324541,,,,,0.000000,0.000000,-0.000271,0.000000,0.000000,0.000000,0.000000
0.070922,2,^,0.100739,0.029781,0.800740,0.820592,0.324270,,,,,0.000066,1.000000,-0.000271,0.000000,0.000000,0.000000,0.000000
0.106383,3,^,0.101479,0.039692,0.800986,0.820789,0.323998,,,,,0.000123,1.000000,-0.000272,0.000000,0.000000,0.000000,0.000000
0.141844,4,^,0.102464,0.049584,0.801233,0.820987,0.323726,,,,,0.000197,1.000000,-0.000272,0.000000,0.000000,0.000000,0.000000
0.177305,5,^,0.103695,0.059452,0.801480,0.821185,0.323454,,,,,0.000286,1.000000,-0.000272,0.000000,0.000000,0.000000,0.000000
0.212766,6,^,0.105170,0.069289,0.801727,0.821383,0.323182,,,,,0.000392,1.000000,-0.000272,0.000000,0.000000,0.000000,0.000000
0.248227,7,^,0.106890,0.079090,0.801974,0.821581,0.322909,,,,,0.000513,1.000000,-0.000273,0.000000,0.000000,0.000000,0.000000
0.283688,8,^,0.108854,0.088848,0.802221,0.821779,0.322637,,,,,0.000649,1.000000,-0.000273,0.000000,0.000000,0.000000,0.000000
0.319149,9,^,0.111059,0.098558,0.802468,0.821977,0.322363,,,,,0.000801,1.000000,-0.000273,0.000000,0.000000,0.000000,0.000000
0.354610,10,^,0.113506,0.108212,0.802715,0.822176,0.322090,,,,,0.000967,1.000000,-0.000273,0.000000,0.000000,0.000000,0.000000
0.390071,11,^,0.116192,0.117806,0.802962,0.822374,0.321816,,,,,0.001148,1.000000,-0.000274,0.000000,0.000000,0.000000,0.000000
0.425532,12,^,0.119116,0.127333,0.803209,0.822573,0.321543,,,,,0.001343,1.000000,-0.000274,0.000000,0.000000,0.000000,0.000000
0.460993,13,^,0.122277,0.136788,0.803457,0.822772,0.321268,,,,,0.001552,0.999999,-0.000274,0.000000,0.000000,0.000000,0.000000
0.496454,14,^,0.125672,0.146164,0.803704,0.822970,0.320994,,,,,0.001773,0.999999,-0.000274,0.000000,0.000000,0.000000,0.000000
0.531915,15,^,0.129300,0.155456,0.803952,0.823169,0.320719,,,,,0.002008,0.999999,-0.000275,0.000000,0.000000,0.000000,0.000000
0.567376,16,^,0.133159,0.164657,0.804200,0.823369,0.320445,,,,,0.002255,0.999999,-0.000275,0.000000,0.000000,0.000000,0.000000
0.602837,17,^,0.137246,0.173763,0.804447,0.823568,0.320169,,,,,0.002513,0.999999,-0.000275,0.000000,0.000000,0.000000,0.000000
0.638298,18,^,0.141560,0.182768,0.804695,0.823767,0.319894,,,,,0.002782,0.999999,-0.000275,0.000000,0.000000,0.000000,0.000000
0.673759,19,^,0.146096,0.191665,0.804943,0.823967,0.319618,,,,,0.003062,0.999999,-0.000276,0.000000,0.000000,0.000000,0.000000
0.709220,20,^,0.150854,0.200450,0.805191,0.824166,0.319342,,,,,0.003352,0.999999,-0.000276,0.000000,0.000000,0.000000,0.000000
0.744681,21,^,0.155830,0.209117,0.805439,0.824366,0.319066,,,,,0.003651,0.999998,-0.000276,0.000000,0.000000,0.000000,0.000000
0.780142,22,^,0.161021,0.217660,0.805687,0.824566,0.318790,,,,,0.003959,0.999998,-0.000276,0.000000,0.000000,0.000000,0.000000
0.815603,23,^,0.166424,0.226075,0.805935,0.824766,0.318513,,,,,0.004275,0.999998,-0.000277,0.000000,0.000000,0.000000,0.000000
0.851064,24,^,0.172035,0.234355,0.806184,0.824966,0.318236,,,,,0.004598,0.999998,-0.000277,0.000000,0.000000,0.000000,0.000000
0.886525,25,^,0.177853,0.242496,0.806432,0.825166,0.317959,,,,,0.004928,0.999998,-0.000277,0.000000,0.000000,0.000000,0.000000
0.921986,26,^,0.183872,0.250492,0.806680,0.825367,0.317681,,,,,0.005263,0.999997,-0.000277,0.000000,0.000000,0.000000,0.000000
0.957447,27,^,0.190090,0.258339,0.806929,0.825567,0.317404,,,,,0.005604,0.999997,-0.000278,0.000000,0.000000,0.000000,0.000000
0.992908,28,^,0.196503,0.266032,0.807177,0.825768,0.317126,,,,,0.005950,0.999997,-0.000278,0.000000,0.000000,0.000000,0.000000
1.028369,29,^,0.203106,0.273566,0.807426,0.825968,0.316847,,,,,0.006299,0.999996,-0.000278,0.000000,0.000000,0.000000,0.000000
1.063830,30,^,0.209897,0.280936,0.807675,0.826169,0.316569,,,,,0.006651,0.999996,-0.000279,0.000000,0.000000,0.000000,0.000000
1.099291,31,^,0.216871,0.288137,0.807923,0.826370,0.316290,,,,,0.007005,0.999996,-0.000279,0.000000,0.000000,0.000000,0.000000
1.134752,32,^,0.224023,0.295165,0.808172,0.826571,0.316011,,,,,0.007361,0.999995,-0.000279,0.000000,0.000000,0.000000,0.000000
1.170213,33,^,0.231350,0.302015,0.808421,0.826772,0.315731,,,,,0.007717,0.999995,-0.000279,0.000000,0.000000,0.000000,0.000000
1.205674,34,^,0.238846,0.308684,0.808670,0.826974,0.315452,,,,,0.008073,0.999995,-0.000280,0.000000,0.000000,0.000000,0.000000
1.241135,35,^,0.246509,0.315166,0.808919,0.827175,0.315172,,,,,0.008429,0.999994,-0.000280,0.000000,0.000000,0.000000,0.000000
1.276596,36,^,0.254332,0.321459,0.809169,0.827377,0.314892,,,,,0.008783,0.999994,-0.000280,0.000000,0.000000,0.000000,0.000000
1.312057,37,^,0.262312,0.327557,0.809418,0.827579,0.314611,,,,,0.009135,0.999993,-0.000280,0.000000,0.000000,0.000000,0.000000
1.347518,38,^,0.270442,0.333457,0.809667,0.827780,0.314331,,,,,0.009484,0.999993,-0.000281,0.000000,0.000000,0.000000,0.000000
1.382979,39,^,0.278720,0.339155,0.809917,0.827982,0.314050,,,,,0.009829,0.999992,-0.000281,0.000000,0.000000,0.000000,0.000000
1.418440,40,^,0.287138,0.344648,0.810166,0.828185,0.313769,,,,,0.010169,0.999991,-0.000281,0.000000,0.000000,0.000000,0.000000
1.453901,41,^,0.295694,0.349932,0.810416,0.828387,0.313487,,,,,0.010505,0.999991,-0.000281,0.000000,0.000000,0.000000,0.000000
1.489362,42,^,0.304380,0.355003,0.810665,0.828589,0.313205,,,,,0.010835,0.999990,-0.000282,0.000000,0.000000,0.000000,0.000000
1.524823,43,^,0.313192,0.359859,0.810915,0.828792,0.312923,,,,,0.011158,0.999989,-0.000282,0.000000,0.000000,0.000000,0.000000
1.560284,44,^,0.322125,0.364496,0.811165,0.828994,0.312641,,,,,0.011474,0.999988,-0.000282,0.000000,0.000000,0.000000,0.000000
1.595745,45,^,0.331172,0.368911,0.811415,0.829197,0.312359,,,,,0.011782,0.999987,-0.000283,0.000000,0.000000,0.000000,0.000000
1.631206,46,^,0.340330,0.373102,0.811665,0.829400,0.312076,,,,,0.012082,0.999986,-0.000283,0.000000,0.000000,0.000000,0.000000
1.666667,47,^,0.349591,0.377066,0.811915,0.829603,0.311793,,,,,0.012374,0.999985,-0.000283,0.000000,0.000000,0.000000,0.000000
1.702128,48,^,0.358951,0.380799,0.812165,0.829806,0.311509,,,,,0.012655,0.999984,-0.000283,0.000000,0.000000,0.000000,0.000000
1.737589,49,^,0.368403,0.384300,0.812415,0.830009,0.311226,,,,,0.012927,0.999983,-0.000284,0.000000,0.000000,0.000000,0.000000
1.773050,50,^,0.377943,0.387567,0.812665,0.830212,0.310942,,,,,0.013188,0.999981,-0.000284,0.000000,0.000000,0.000000,0.000000
